lang,algo,n,time_ms_median,n_instances
cpp,brute,2,0.001,1
cpp,brute,3,0.001,2
cpp,brute,4,0.005,1
cpp,brute,5,0.006,6
cpp,brute,10,0.467,25
cpp,brute,20,5000.000,25
cpp,smart,2,0.003,1
cpp,smart,3,0.004,2
cpp,smart,4,0.005,1
cpp,smart,5,0.005,6
cpp,smart,10,0.011,25
cpp,smart,20,0.060,25
java,brute,2,3.036,1
java,brute,3,2.997,2
java,brute,4,3.375,1
java,brute,5,3.262,6
java,brute,10,5.932,25
java,brute,20,5000.000,25
java,smart,2,3.111,1
java,smart,3,3.107,2
java,smart,4,3.130,1
java,smart,5,3.197,6
java,smart,10,3.361,25
java,smart,20,4.454,25
python,brute,2,0.019,1
python,brute,3,0.021,2
python,brute,4,0.196,1
python,brute,5,0.194,6
python,brute,10,24.544,25
python,brute,20,5000.000,25
python,smart,2,0.040,1
python,smart,3,0.054,2
python,smart,4,0.078,1
python,smart,5,0.085,6
python,smart,10,0.269,25
python,smart,20,2.725,25
